mtx_name                                 mm_time(ms)
hcircuit                                 18.9108
soc-sign-Slashdot081106                  30.6964
c-67                                     40.0302
c-67b                                    39.3779
std1_Jac3_db                             7.0043
ibm_matrix_2                             20.6804
3D_51448_3D                              22.6609
nemeth15                                 4.4449
psmigr_2                                 30.4140
apache1                                  7.7793
psmigr_3                                 30.2247
psmigr_1                                 28.7479
ford2                                    5.3820
soc-sign-Slashdot090216                  30.3807
soc-sign-Slashdot090221                  28.7527
sinc15                                   35.0872
c-58                                     37.9415
e40r0100                                 6.6739
rail_79841                               7.5289
Trefethen_20000b                         16.4366
Trefethen_20000                          17.2457
rajat23                                  39.0005
stokes128                                5.6346
c-62ghs                                  31.8754
c-62                                     31.3838
cage11                                   8.2269
k1_san                                   8.7965
patents_main                             8.4153
Goodwin_040                              6.6633
g7jac160                                 12.4077
g7jac160sc                               12.5575
wathen120                                5.3211
c-68                                     26.7770
ut2010                                   10.5477
thermal1                                 4.7686
ncvxqp7                                  11.1227
ASIC_100ks                               14.7604
crystm03                                 7.5667
nemeth16                                 5.3127
bcsstk33                                 7.7676
LeGresley_87936                          5.1777
sx-askubuntu                             77.2942
finan512                                 12.6874
pfinan512                                14.7701
vsp_bump2_e18_aa01_model1_crew1          36.2041
rajat20                                  471.0020
rajat25                                  476.4060
rajat28                                  473.8985
TSOPF_FS_b162_c1                         45.0254
TSOPF_RS_b162_c3                         6.6962
k49_norm_10NN                            19.2412
bcsstk29                                 5.6336
c-69                                     29.1076
nd2010                                   6.4126
nemeth17                                 4.6141
mt2010                                   10.8433
blockqp1                                 1775.6200
g7jac180sc                               10.6197
g7jac180                                 12.9420
c-70                                     30.4871
wv2010                                   12.0157
Zd_Jac6_db                               8.5713
Zd_Jac2_db                               7.7348
cbuckle                                  6.0454
ex3sta1_id_1379                          22.7531
heart2                                   9.7613
heart3                                   9.9240
TSOPF_RS_b39_c19                         6.1346
rgg_n_2_16_s0                            8.2822
nemeth18                                 5.7850
md2010                                   13.3570
c-72                                     30.4423
c-64b                                    109.8340
c-64                                     109.0283
thermomech_TC                            5.4599
thermomech_TK                            5.5857
Zd_Jac3_db                               9.9627
cyl6                                     5.5018
Pres_Poisson                             5.9440
g7jac200                                 15.8118
g7jac200sc                               15.5645
nemeth01                                 6.1879
pf2177_id_1394                           36.1605
G2_circuit                               6.5541
id2010                                   11.6231
TSOPF_FS_b39_c7                          135.0612
brack2                                   8.7204
Si5H12                                   21.3470
olesnik0                                 11.0026
lhr34                                    8.4887
Baumann                                  9.3629
trans5                                   FAIL
trans4                                   FAIL
copter2_id_1230                          7.6448
copter2_id_1256                          8.2760
Andrews                                  18.0178
HTC_336_9129                             52.2335
lhr34c                                   8.5915
dc1                                      FAIL
dc2                                      FAIL
dc3                                      FAIL
bundle1                                  41.3002
ma2010                                   14.0050
vsp_mod2_pgp2_slptsk                     38.4742
HTC_336_4438                             58.7886
delaunay_n17                             7.6651
ky2010                                   11.5931
m133-b3                                  7.3915
shar_te2-b3                              7.8296
windtunnel_evap3d                        31.5867
power197k                                51.9521
pkustk02                                 7.1766
TSOPF_RS_b162_c4                         8.5400
nemeth19                                 6.9348
fe_ocean                                 7.1788
TSC_OPF_300                              41.0178
nj2010                                   12.8861
nm2010                                   13.0446
fp                                       31.1196
ms2010                                   12.5049
soc-sign-epinions                        56.3981
ss1                                      6.8579
ch7-8-b5                                 16.1865
c-71                                     39.2234
vsp_vibrobox_scagr7-2c_rlfddd            41.8402
sme3Da                                   16.0784
Si10H16                                  24.7885
sc2010                                   13.0331
matrix-new_3                             40.8205
tube2                                    6.2499
tube1                                    6.8989
ar2010                                   13.7822
fe_tooth                                 17.6710
soc-Slashdot0811                         61.9085
ne2010                                   7.7564
sx-superuser                             122.0555
NotreDame_www                            6.4867
ASIC_100k                                FAIL
net50                                    44.9235
wa2010                                   15.0960
soc-Slashdot0902                         59.8047
sinc18                                   47.6671
scircuit                                 14.2364
crplat2                                  8.0705
transient                                FAIL
pcrystk02                                8.4775
crystk02                                 9.9080
nemeth20                                 7.9685
co2010                                   17.7241
pkustk01                                 9.0903
or2010                                   19.1655
la2010                                   18.9514
cont-300                                 8.0728
preferentialAttachment                   42.7471
smallworld                               14.8395
G_n_pin_pout                             23.7775
dawson5                                  8.2823
mosfet2                                  23.8634
rim                                      11.5708
olafu                                    9.8730
gyro                                     16.0852
gyro_k                                   15.8889
ia2010                                   9.0798
Dubcova2                                 12.7865
Goodwin_054                              13.5000
torso2                                   8.7893
case39                                   272.6387
TSOPF_RS_b39_c30                         11.5432
ex11                                     13.9701
vsp_finan512_scagr7-2c_rlfddd            46.1432
ks2010                                   9.6530
viscorocks                               8.8555
bcsstk37                                 7.9940
msc23052                                 9.5577
bcsstk36                                 8.7670
denormal                                 10.4118
struct3                                  7.3843
nemeth21                                 9.8839
xenon1                                   12.1543
bcsstk31                                 14.2566
tn2010                                   20.4218
az2010                                   22.6821
matrix_9                                 25.8149
twotone                                  35.8137
Linux_call_graph                         5.0570
wi2010                                   7.3803
boyd1                                    FAIL
li                                       18.6108
language                                 24.4595
caidaRouterLevel                         36.2920
mn2010                                   15.1255
mycielskian13                            53.6431
msc10848                                 15.3291
al2010                                   15.1453
amazon0302                               7.4515
std1_Jac2                                21.4133
mac_econ_fwd500                          19.5998
ok2010                                   16.0215
